"Device";"#ospf";"#bgp";"#mac";"#arp"
"salpes-bur-3-ed2-2";;;"28";"4"
"slbm-sav-y80-1";;;"54";"15"
"rbdx-lac-g-1";"1";;"169";"387"
"rbdx-lac-g-3";"1";;"169";"387"
"rbdx-lac-g-2";"1";;"169";"387"
"slyo-fed-fe-3-2";;;"114";"3"
"slyo-spoke-k1-me-1";;;"27";"3"
"slyo-spoke-k1-me-2";;;"27";"3"
"sbdx-lac-g";;;"52";"7"
"slyo-prep-nfs-fe-1";;;"22";"2"
"sabv-spoke-god-mg";;;"26";"3"
"slyo-i4-be-1";;;"21";"3"
"sbdx-lac-d";;;"52";"8"
"s33vil-serv-ltp1";;;"28";"2"
"scbv-savbd0-1";;;"52";"6"
"slyo-prep-nfs-fe-2";;;"22";"2"
"slyo-fed-fe-3-1";;;"114";"3"
"salpes-sav-f-2";;;"107";"7"
"salpes-sav-f-1";;;"107";"7"
"slyo-i4-mg-be-1";;;"21";"3"
"lyn-07";;;"26";"3"
"salpes-bur-2-ed3-2";;;"28";"4"
"lyn-06";;;"26";"4"
"salpes-bur-2-ed3-1";;;"28";"4"
"lyn-05";;;"26";"2"
"scbv-savgg0-1";;;"52";"5"
"lyn-09";;;"26";"4"
"slyo-spoke-l3-me-1";;;"22";"2"
"lyn-08";;;"26";"3"
"slyo-spoke-l3-mg-1";;;"22";"2"
"ssbg-pfd2-i1";;;"54";"4"
"svnx-spoke-nb5-sw3-mg";;;"22";"2"
"lyn-02";;;"52";"5"
"salpes-sav-h-1";;;"107";"7"
"salpes-sav-h-2";;;"107";"7"
"svnx-spoke-nb5-sw1-me";;;"22";"3"
"rcbv-core";"1";;"114";"148"
"lyn-16";;;"26";"3"
"slyo-i1-mg-fe-1";;;"22";"2"
"smar-cr113-2-2";;;"213";"3"
"lyn-15";;;"26";"4"
"smar-cr113-2-3";;;"213";"3"
"slyo-prep-ag1-mg-fe-1";;;"21";"2"
"smar-cr113-2-4";;;"213";"3"
"fpar-spoke-be";;;"3";"15"
"smar-cr113-2-1";;;"213";"3"
"slyo-fed-be-nfs-1";;;"121";"2"
"slyo-c4-prep-fe-1";;;"22";"2"
"lyn-10";;;"26";"4"
"lyn-11";;;"26";"5"
"lyn-12";;;"26";"4"
"slyo-fed-be-nfs-2";;;"121";"2"
"lyn-13";;;"26";"4"
"slyo-fed-be-nfs-5";;;"108";"3"
"lyn-14";;;"26";"3"
"ralpes-bur-ag3";"1";;"96";"200"
"smon-bur1";;;"27";"3"
"scda-dsi-04";;;"28";"7"
"smar-cr222-0-1";;;"109";"3"
"scda-dsi-03";;;"28";"8"
"smar-cr222-0-2";;;"109";"3"
"smar-cr222-0-3";;;"109";"3"
"smar-cr222-0-4";;;"109";"3"
"sren-spoke-mg";;;"106";"8"
"slyo-fed-be-nfs-6";;;"108";"3"
"rcbv-nagra-mg-d";;;"56";"42"
"rcbv-nagra-mg-g";;;"56";"19"
"slyo-fed-save-6";;;"108";"3"
"slyo-fed-save-5";;;"108";"3"
"marse1-cr-sw9";;;"28";"2"
"slyo-prep-e2-mg-fe";;;"22";"2"
"a8rxcha001mc2602";;"1";"3";"9"
"a8rxcha001mc2601";;"1";"3";"10"
"svnx-pfd2-i1";;;"54";"4"
"slyo-arthius-nfs-fe-1";;;"22";"2"
"slyo-arthius-nfs-fe-2";;;"22";"2"
"rlbm-sav-v72-1";;;"76";"66"
"rlbm-core-v72-1";;;"103";"134"
"slyo-i4-nfs-fe-1";;;"21";"3"
"slyo-h1-me-1";;;"21";"2"
"smdn1-rc-1-2";;;"210";"7"
"smdn1-rc-1-3";;;"210";"7"
"smdn1-rc-1-1";;;"210";"7"
"smdn1-rc-1-4";;;"210";"7"
"scbv-cd0-1vmw";;;"54";"5"
"slyo-fed-me-5";;;"110";"3"
"slyo-fed-me-6";;;"110";"3"
"slyo-fed-me-1";;;"113";"2"
"slyo-fed-me-2";;;"113";"2"
"slyo-9vod-me-1";;;"22";"2"
"fboul-spoke-2";;;;
"fboul-spoke-1";;;"1";"5"
"slyo-i4-mg-fe-1";;;"21";"3"
"slyo-fed-fe-1";;;"114";"2"
"slyo-fed-mg-1";;;"118";"3"
"slyo-fed-fe-2";;;"114";"2"
"slyo-fed-mg-2";;;"118";"3"
"slyo-fed-fe-5";;;"107";"3"
"slyo-fed-fe-6";;;"107";"3"
"spar-pfd2-i1";;;"54";"4"
"slyo-9vod-fe-1";;;"22";"2"
"slyo-fed-mg-5";;;"107";"3"
"slyo-fed-mg-6";;;"107";"3"
"scbv-nagra-pub-d";;;"54";"6"
"pf-siris-1";;;"52";"2"
"scbv-nagra-pub-g";;;"54";"7"
"sqw-wi6";;;"28";"5"
"sw-c0020";;;"28";"3"
"pf-siris-2";;;"52";"2"
"sqw-wi7";;;"28";"4"
"sw-c0021";;;"28";"3"
"sqw-wi8";;;"28";"6"
"smdn2-1a-e2-2";;;"210";"4"
"smdn2-1a-e2-3";;;"210";"4"
"fmar-vpn-gp-1";"1";;"5";"38"
"slyo-prep-e3-save";;;"22";"2"
"smdn2-1a-e2-4";;;"210";"4"
"llyo-fed-be-1";;;"22";"54"
"llyo-fed-be-2";;;"22";"30"
"fmar-vpn-gp-2";"1";;"5";"36"
"slyo-fed-prep-be-mg";;;"122";"3"
"slyo-prodg12-1";;;"54";"5"
"smdn2-1a-e2-1";;;"210";"4"
"sqw-wi3";;;"28";"5"
"fwcbv-concord-g";;;"8";"31"
"sqw-wi2";;;"28";"5"
"fwcbv-concord-d";;;"8";"31"
"salpes-interco";;;"54";"9"
"sqw-wi5";;;"28";"5"
"sqw-wi4";;;"28";"5"
"slyo-prodg12-2";;;"54";"5"
"svlz-bur";;;"29";"7"
"sqw-wi1";;;"28";"4"
"smdn1-01-2-3";;;"158";"7"
"ffed-bk-d";;;"14";"6"
"smdn1-01-2-1";;;"158";"7"
"smdn1-01-2-2";;;"158";"7"
"scbv-pfd1-i1";;;"54";"4"
"llyo-fed-fe-1";;;"33";"1"
"llyo-fed-fe-2";;;"33";"1"
"salpes-bur-sav-e-1";;;"112";"7"
"salpes-bur-sav-e-2";;;"112";"7"
